N,flat_time_mean,flat_time_min,flat_time_max,flat_inner_time_mean,flat_inner_time_min,flat_inner_time_max,time_diff,time_diff_pct,time_significant,flat_bench_mean,flat_bench_min,flat_bench_max,flat_inner_bench_mean,flat_inner_bench_min,flat_inner_bench_max,bench_diff,bench_diff_pct,bench_significant
10,0.356,0.34,0.37,0.307,0.3,0.31,-0.04899999999999999,-13.764044943820222,True,0.113,0.11,0.117,0.09437,0.0922,0.097,-0.018630000000000008,-16.48672566371682,True
20,0.377,0.37,0.39,0.356,0.32,0.62,-0.02100000000000002,-5.570291777188334,False,0.1337,0.13,0.138,0.1095,0.106,0.112,-0.024200000000000013,-18.1002243829469,True
30,0.4039999999999999,0.39,0.41,0.346,0.34,0.35,-0.05799999999999994,-14.356435643564344,True,0.1557,0.15,0.159,0.1262,0.124,0.128,-0.0295,-18.946692357096982,True
50,0.439,0.43,0.45,0.376,0.36,0.38,-0.063,-14.350797266514807,True,0.1944,0.19,0.199,0.1547,0.149,0.157,-0.039699999999999985,-20.421810699588473,True
70,0.479,0.47,0.49,0.409,0.4,0.41,-0.07,-14.613778705636745,True,0.235,0.231,0.241,0.1847,0.184,0.186,-0.050299999999999984,-21.40425531914893,True
100,0.542,0.53,0.56,0.452,0.45,0.46,-0.09000000000000002,-16.605166051660518,True,0.2961999999999999,0.288,0.303,0.2293,0.228,0.233,-0.0668999999999999,-22.586090479405783,True
200,0.759,0.72,0.88,0.598,0.59,0.6,-0.16100000000000003,-21.212121212121215,True,0.4986,0.477,0.512,0.3747,0.371,0.378,-0.12390000000000001,-24.849578820697957,True
500,1.327,1.29,1.39,1.042,1.04,1.05,-0.2849999999999999,-21.477015825169552,True,1.088,1.06,1.14,0.816,0.811,0.822,-0.27200000000000013,-25.00000000000001,True
750,1.812,1.77,1.87,1.397,1.37,1.41,-0.41500000000000004,-22.902869757174393,True,1.572,1.54,1.63,1.172,1.15,1.18,-0.40000000000000013,-25.445292620865146,True
1000,2.283,2.2,2.35,1.785,1.76,1.94,-0.498,-21.81340341655716,True,2.046,1.98,2.11,1.545,1.53,1.59,-0.5009999999999999,-24.48680351906158,True
1250,2.718,2.64,2.77,2.103,2.05,2.16,-0.6149999999999998,-22.62693156732891,True,2.478,2.4,2.53,1.874,1.83,1.9,-0.6040000000000001,-24.37449556093624,True
1500,3.158,3.06,3.22,2.48,2.42,2.58,-0.6779999999999999,-21.469284357188094,True,2.889,2.83,2.98,2.226,2.19,2.27,-0.6629999999999998,-22.9491173416407,True
1750,3.587,3.5,3.71,2.835,2.75,2.92,-0.7520000000000002,-20.964594368553115,True,3.318,3.27,3.39,2.584,2.53,2.63,-0.734,-22.12176009644364,True
2000,4.023,3.88,4.22,3.205,3.13,3.3,-0.8179999999999996,-20.333084762614956,True,3.757,3.66,3.9,2.954,2.9,2.99,-0.8029999999999999,-21.373436252328982,True
