N,doc_type,time_mean,time_min,time_max,benchmark_mean,benchmark_min,benchmark_max
10,flat_inner,0.307,0.3,0.31,0.09437,0.0922,0.097
20,flat_inner,0.356,0.32,0.62,0.1095,0.106,0.112
30,flat_inner,0.346,0.34,0.35,0.1262,0.124,0.128
50,flat_inner,0.376,0.36,0.38,0.1547,0.149,0.157
70,flat_inner,0.409,0.4,0.41,0.1847,0.184,0.186
100,flat_inner,0.452,0.45,0.46,0.2293,0.228,0.233
200,flat_inner,0.598,0.59,0.6,0.3747,0.371,0.378
10,modular,0.329,0.32,0.33,0.1028,0.101,0.105
20,modular,0.356,0.35,0.36,0.1264,0.123,0.13
30,modular,0.375,0.37,0.38,0.1479,0.146,0.15
50,modular,0.418,0.41,0.43,0.193,0.19,0.197
70,modular,0.4659999999999999,0.45,0.48,0.2399,0.232,0.245
100,modular,0.541,0.53,0.55,0.3126,0.309,0.319
200,modular,0.805,0.8,0.82,0.5801999999999999,0.575,0.588
10,modular_inner,0.322,0.32,0.33,0.10048,0.0994,0.101
20,modular_inner,0.35,0.35,0.35,0.1272,0.126,0.128
30,modular_inner,0.384,0.38,0.39,0.1614,0.159,0.164
50,modular_inner,0.462,0.45,0.48,0.241,0.234,0.249
70,modular_inner,0.562,0.56,0.57,0.3422,0.34,0.346
100,modular_inner,0.764,0.75,0.77,0.5402,0.53,0.545
200,modular_inner,1.73,1.69,1.77,1.508,1.47,1.54
10,macrodef,0.321,0.31,0.33,0.10007,0.0971,0.102
20,macrodef,0.341,0.33,0.35,0.116,0.113,0.118
30,macrodef,0.384,0.35,0.63,0.1297,0.124,0.132
50,macrodef,0.389,0.38,0.39,0.1609,0.156,0.165
70,macrodef,0.4619999999999999,0.41,0.86,0.1884,0.18,0.191
100,macrodef,0.497,0.45,0.84,0.2297,0.218,0.236
200,macrodef,0.614,0.6,0.62,0.3823,0.375,0.384
10,modular_inner_last,0.318,0.31,0.32,0.09886,0.0972,0.1
20,modular_inner_last,0.382,0.33,0.56,0.1224,0.12,0.125
30,modular_inner_last,0.376,0.37,0.38,0.1572,0.155,0.159
50,modular_inner_last,0.456,0.45,0.46,0.2374,0.235,0.239
70,modular_inner_last,0.556,0.54,0.57,0.3356,0.323,0.344
100,modular_inner_last,0.744,0.74,0.75,0.5252,0.521,0.528
200,modular_inner_last,1.714,1.68,1.74,1.492,1.46,1.51
